Sample number,epoch machine time (ns),Timestamp for frame capture.read  (ns),Timestamp LPMSB2 (s),"Quaternions [q0, q1, q2, q3] LPMS-B2","Euler [Roll, Pitch, Yaw] LPMSB2"
0,1661265471374886920,1661265471375484761,4013.1,"[-0.4978141188621521, 0.056774165481328964, 0.8630015850067139, -0.06469946354627609]","[-173.65574645996094, 60.06307601928711, 176.14222717285156]"
1,1661265471418842259,1661265471375484761,4013.11,"[-0.4977661371231079, 0.05687526613473892, 0.8630244135856628, -0.06467582285404205]","[-173.67222595214844, 60.05735778808594, 176.1190948486328]"
2,1661265471423141134,1661265471375484761,4013.12,"[-0.4976876974105835, 0.05698489397764206, 0.8630664348602295, -0.06462235003709793]","[-173.69570922851562, 60.047542572021484, 176.09063720703125]"
3,1661265471428126400,1661265471375484761,4013.13,"[-0.4975792467594147, 0.0570514015853405, 0.8631318211555481, -0.06452545523643494]","[-173.7229766845703, 60.033241271972656, 176.06558227539062]"
4,1661265471434271957,1661265471375484761,4013.14,"[-0.497490793466568, 0.057041823863983154, 0.8631933927536011, -0.0643918514251709]","[-173.74876403808594, 60.020870208740234, 176.0515594482422]"
5,1661265471438435905,1661265471375484761,4013.15,"[-0.497982382774353, 0.05659957975149155, 0.8630750775337219, -0.06254187226295471]","[-174.06483459472656, 60.07416915893555, 175.92977905273438]"
6,1661265471442484354,1661265471375484761,4013.1600000000003,"[-0.4979863464832306, 0.05643460527062416, 0.863093376159668, -0.06240784004330635]","[-174.0725860595703, 60.07292938232422, 175.94715881347656]"
7,1661265471447773713,1661265471375484761,4013.17,"[-0.4980088472366333, 0.05625813454389572, 0.8630995154380798, -0.062301598489284515]","[-174.0734405517578, 60.07419967651367, 175.9701385498047]"
8,1661265471453837653,1661265471375484761,4013.1800000000003,"[-0.49800512194633484, 0.05613343417644501, 0.8631159663200378, -0.062215518206357956]","[-174.07627868652344, 60.07246780395508, 175.98500061035156]"
9,1661265471469691347,1661265471375484761,4013.19,"[-0.49792537093162537, 0.05609021708369255, 0.8631715178489685, -0.06212177872657776]","[-174.09019470214844, 60.06118392944336, 175.98236083984375]"
10,1661265471473756042,1661265471375484761,4013.2000000000003,"[-0.49819785356521606, 0.05588758736848831, 0.8631539940834045, -0.06033851578831673]","[-174.4214324951172, 60.08740997314453, 175.8188934326172]"
11,1661265471486807116,1661265471487025663,4013.21,"[-0.49810072779655457, 0.05591093748807907, 0.863221287727356, -0.06015633046627045]","[-174.46054077148438, 60.07383346557617, 175.79287719726562]"
12,1661265471494989339,1661265471487025663,4013.2200000000003,"[-0.49802321195602417, 0.05593034625053406, 0.8632773756980896, -0.059974879026412964]","[-174.4989776611328, 60.06281661987305, 175.767822265625]"
13,1661265471502794563,1661265471487025663,4013.23,"[-0.49799036979675293, 0.05593188852071762, 0.8633066415786743, -0.05982522293925285]","[-174.52896118164062, 60.05774688720703, 175.7501678466797]"
14,1661265471516560462,1661265471487025663,4013.2400000000002,"[-0.49797552824020386, 0.05592191219329834, 0.8633224964141846, -0.05972805619239807]","[-174.5471649169922, 60.055233001708984, 175.74093627929688]"
15,1661265471522777054,1661265471487025663,4013.25,"[-0.49844926595687866, 0.054953258484601974, 0.8631768822669983, -0.05877254530787468]","[-174.62564086914062, 60.10716247558594, 175.82557678222656]"
16,1661265471536483508,1661265471487025663,4013.26,"[-0.4985329210758209, 0.05496388301253319, 0.8631235957145691, -0.058834660798311234]","[-174.61441040039062, 60.11861038208008, 175.83096313476562]"
17,1661265471542730026,1661265471487025663,4013.27,"[-0.4986688196659088, 0.05503194034099579, 0.863034188747406, -0.058932673186063766]","[-174.6025390625, 60.137481689453125, 175.8292694091797]"
18,1661265471561545171,1661265471487025663,4013.28,"[-0.49872705340385437, 0.055146850645542145, 0.8629879355430603, -0.0590086467564106]","[-174.60055541992188, 60.14628219604492, 175.8153839111328]"
19,1661265471571287960,1661265471487025663,4013.29,"[-0.49873942136764526, 0.0552942231297493, 0.8629692196846008, -0.059041157364845276]","[-174.6110382080078, 60.14898681640625, 175.78982543945312]"
20,1661265471577729389,1661265471487025663,4013.3,"[-0.4993409812450409, 0.054968588054180145, 0.8627366423606873, -0.05764160677790642]","[-174.85235595703125, 60.21971130371094, 175.69522094726562]"
21,1661265471584068584,1661265471487025663,4013.31,"[-0.4993613064289093, 0.055071987211704254, 0.8627223372459412, -0.0575823076069355]","[-174.8761444091797, 60.22271728515625, 175.6678009033203]"
22,1661265471595293237,1661265471595523013,4013.32,"[-0.4994223415851593, 0.05514352396130562, 0.8626869916915894, -0.057513218373060226]","[-174.898193359375, 60.230892181396484, 175.6457061767578]"
23,1661265471604088139,1661265471595523013,4013.33,"[-0.49951091408729553, 0.05521753430366516, 0.8626352548599243, -0.05744851753115654]","[-174.91969299316406, 60.24271774291992, 175.6237030029297]"
24,1661265471612766569,1661265471595523013,4013.34,"[-0.49957725405693054, 0.055334288626909256, 0.8625927567481995, -0.05739840492606163]","[-174.94320678710938, 60.251922607421875, 175.5947723388672]"
25,1661265471629775772,1661265471595523013,4013.35,"[-0.49986323714256287, 0.05525102838873863, 0.8625029921531677, -0.05632764846086502]","[-175.1477813720703, 60.28378677368164, 175.4879913330078]"
26,1661265471634007332,1661265471595523013,4013.36,"[-0.49994540214538574, 0.05542977526783943, 0.8624443411827087, -0.05631908029317856]","[-175.1702880859375, 60.29563522338867, 175.451416015625]"
27,1661265471646479330,1661265471595523013,4013.37,"[-0.5000550150871277, 0.055553972721099854, 0.8623756766319275, -0.056276172399520874]","[-175.19338989257812, 60.31059265136719, 175.4217987060547]"
28,1661265471652833293,1661265471595523013,4013.38,"[-0.5001711249351501, 0.055609080940485, 0.8623105883598328, -0.056187257170677185]","[-175.2176971435547, 60.32581329345703, 175.40065002441406]"
29,1661265471662730720,1661265471595523013,4013.39,"[-0.5002995729446411, 0.05560006946325302, 0.8622444868087769, -0.05606554448604584]","[-175.2411651611328, 60.34212112426758, 175.38853454589844]"
30,1661265471676475592,1661265471595523013,4013.4,"[-0.5005432963371277, 0.055345505475997925, 0.8621920347213745, -0.05493783578276634]","[-175.43783569335938, 60.36696243286133, 175.30865478515625]"
31,1661265471686294733,1661265471595523013,4013.4100000000003,"[-0.5006579756736755, 0.05533978343009949, 0.8621353507041931, -0.05478757247328758]","[-175.4674835205078, 60.38130569458008, 175.29241943359375]"
32,1661265471692734157,1661265471595523013,4013.42,"[-0.5007134079933167, 0.0553981252014637, 0.8621087670326233, -0.05464097484946251]","[-175.5037841796875, 60.38815689086914, 175.26370239257812]"
33,1661265471706675860,1661265471706900724,4013.4300000000003,"[-0.5006994605064392, 0.0555175244808197, 0.8621163368225098, -0.05452777072787285]","[-175.54037475585938, 60.38630676269531, 175.22654724121094]"
